CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,41,1,0,3,40
0,0,0,0,0,1,0,0,0
48,0,4,0,52,1,0,1,175
1,0,0,0,0,1,0,0,1
27,0,0,0,23,1,0,0,34
1,0,0,0,0,1,0,0,1
16,0,0,0,9,1,0,0,8
5,0,0,0,0,1,0,0,1
24,0,0,0,46,1,0,0,83
5,0,1,0,1,1,0,0,2
5,0,0,0,16,1,0,0,15
1,0,0,0,0,1,0,0,1
41,0,0,0,22,1,0,0,40
5,0,0,0,0,1,0,0,1
10,0,1,0,18,1,0,2,57
9,0,2,0,2,1,0,0,3
1,0,0,0,0,1,0,0,1
26,0,0,0,6,1,0,0,6
1,0,0,0,0,1,0,0,1
38,0,0,0,19,1,0,2,81
5,0,1,0,1,1,0,0,2
113,0,0,0,32,1,0,0,74
1,0,0,0,0,1,0,0,1
63,0,0,0,12,1,0,0,6
1,0,0,0,0,1,0,0,1
22,0,4,0,23,1,0,0,41
5,0,0,0,0,1,0,0,1
21,0,0,0,15,1,0,1,61
1,0,0,0,0,1,0,0,1
6,0,0,0,9,1,0,0,8
6,0,0,0,19,1,0,0,25
33,0,0,0,22,1,0,0,37
64,0,0,0,97,1,0,0,103
31,0,1,0,12,1,0,0,12
55,0,0,0,10,1,0,0,54
13,0,0,0,30,1,0,1,107
4,0,0,0,8,1,0,0,10
39,0,0,0,17,1,0,0,38
49,0,0,0,46,1,0,0,56
37,0,4,0,20,1,0,0,29
50,0,0,0,18,1,0,0,63
8,0,0,0,17,1,0,0,25
48,0,0,0,92,1,0,0,107
62,0,0,0,18,1,0,0,41
6,0,0,0,12,1,0,1,12
14,0,1,0,27,1,0,0,104
21,0,0,0,16,1,0,0,15
46,0,0,0,18,1,0,1,21
91,0,0,0,106,1,0,0,189
64,0,0,0,65,1,0,0,108
60,0,4,0,50,1,0,0,154
21,0,0,0,27,1,0,0,30
0,0,0,0,0,1,0,0,0
27,0,0,0,9,1,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
