MemoryManipulation,ReadFile,CreateProcess,WriteFile,CloseHandle,ThreadManipulation,Sleep,ProcessSnapshot,TokenPrivileges
0,222,0,52,3,0,1,0,0
0,218,0,82,4,0,1,0,1
3,184,0,197,6,0,1,0,0
0,36,0,40,15,0,1,0,2
0,46,0,43,3,0,1,0,4
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
40,0,0,0,67,1,0,0,63
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
36,0,0,0,22,1,0,1,26
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,99,1,0,3,111
63,0,1,0,77,1,0,0,77
1,0,0,0,14,1,0,0,14
1,0,0,0,18,1,0,0,18
2,0,0,0,35,1,0,1,9
2,0,0,0,9,1,0,1,8
1,0,0,0,20,1,0,0,19
3,0,1,0,91,1,0,0,82
33,0,0,0,17,1,0,1,18
2,0,0,0,19,1,0,1,20
2,0,0,0,17,1,0,1,15
1,0,0,0,14,1,0,0,13
2,0,0,0,12,1,0,1,12
1,0,0,0,34,1,0,0,7
