MemoryManipulation,ReadFile,CreateProcess,WriteFile,CloseHandle,ThreadManipulation,Sleep,ProcessSnapshot,TokenPrivileges
83,0,0,0,17,0,1,1,1
130,0,0,1,85,0,1,22,8
108,0,0,1,49,0,1,8,4
93,0,0,1,25,0,1,2,1
90,0,0,1,24,0,1,1,1
94,0,0,1,19,0,1,2,0
109,0,0,1,63,0,2,9,8
90,0,0,1,24,0,1,1,1
88,0,0,1,17,0,1,0,0
90,0,0,1,24,0,1,1,1
88,0,0,1,17,0,1,0,0
94,0,0,1,38,0,1,3,3
88,0,0,1,17,0,1,0,0
90,0,0,1,24,0,1,1,1
108,0,0,1,68,0,1,9,7
105,0,0,1,52,0,1,7,4
101,0,0,1,68,0,2,10,9
99,0,0,1,19,0,1,0,0
88,0,0,1,17,0,1,0,0
88,0,0,1,17,0,1,0,0
95,0,0,1,34,0,1,3,2
110,0,0,1,77,1,1,10,8
88,0,0,1,17,0,1,0,0
96,0,0,1,45,0,1,4,4
100,0,0,1,59,0,1,6,6
94,0,0,1,25,0,1,1,1
97,0,0,1,25,0,1,1,1
