CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
0,0,0,0,0,1,0,0,0
0,0,0,0,0,61,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
4,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,0,0,1
0,0,0,0,0,1,0,0,0
15,0,0,0,0,62,0,0,0
4,0,0,0,0,1,2,0,1
4,0,0,0,0,124,4,0,1
1,0,0,0,0,1,0,0,1
4,0,0,0,0,213,4,0,1
1,0,0,0,0,1,0,0,1
4,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,121,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,121,0,0,1
1,0,0,0,0,1,0,0,1
20,0,23,0,0,0,20,0,0
14,0,23,0,0,0,14,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
15,0,23,0,0,0,15,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
21,0,23,0,0,0,21,0,0
21,0,0,0,0,1,0,0,0
15,0,23,0,0,0,15,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
15,0,0,0,0,61,4,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
14,0,23,0,0,0,14,0,0
18,0,23,0,0,0,18,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
