CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
10,0,0,0,0,1,0,0,0
19,0,0,0,8,1,19,4,0
13,0,0,0,4,1,3,0,1
1,0,0,0,0,1,0,0,1
15,0,0,0,7,1,17,4,1
14,0,0,0,4,1,8,0,1
4,0,0,0,0,1,2,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,5,0,1
3,0,0,0,0,1,2,0,1
15,0,0,0,4,1,15,4,1
4,0,0,0,0,1,4,0,1
9,0,0,0,0,1,2,0,1
15,0,0,0,4,1,11,4,1
20,0,23,0,0,0,20,0,0
19,0,23,0,0,0,19,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,2,0,0
100,0,72,1,0,1,6,0,0
6,0,0,0,0,1,0,0,0
2,0,0,0,0,1,2,0,0
0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
2,0,0,0,0,1,4,0,0
19,0,23,0,0,0,19,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,2,0,0
75,0,72,1,0,1,6,0,0
20,0,23,0,0,0,20,0,0
23,0,23,0,0,0,23,0,0
2,0,0,0,0,1,2,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
18,0,0,0,0,1,8,0,0
45,0,0,0,0,1,0,0,0
3,0,0,0,0,1,3,0,0
62,0,54,1,0,1,2,0,0
10,0,0,0,0,1,7,0,2
25,0,23,0,0,0,25,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,0,0
10,0,0,0,0,1,0,0,0
1,0,0,0,0,1,4,0,0
2,0,0,0,0,1,4,0,0
1,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0
72,0,54,1,0,1,4,0,0
1,0,0,0,0,1,4,0,0
1,0,0,0,0,1,2,0,0
75,0,69,1,0,1,6,0,0
6,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0
1,0,0,0,0,1,4,0,0
2,0,0,0,0,1,4,0,0
1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
57,0,54,1,0,1,4,0,0
0,0,0,0,0,1,0,0,0
89,0,69,1,0,1,8,0,0
0,0,0,0,0,1,0,0,0
18,0,23,0,0,0,18,0,0
26,0,23,0,0,0,26,0,0
3,0,0,0,0,1,2,0,0
10,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
7,0,0,0,0,1,6,0,0
0,0,0,0,0,1,0,0,0
2,0,0,0,0,1,11,0,0
2,0,0,0,0,1,4,0,0
97,0,54,1,0,1,2,0,0
15,0,0,0,0,1,0,0,0
15,0,0,0,0,1,0,0,0
32,0,24,1,0,1,12,4,0
2,0,0,0,0,1,2,0,0
45,0,42,0,0,1,2,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0
2,0,0,0,0,1,6,0,0
2,0,0,0,0,1,4,0,0
57,0,54,1,0,1,2,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
2,0,0,0,0,1,4,0,0
7,0,0,0,0,1,2,0,0
71,0,66,1,0,1,6,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,0,0,0
2,0,0,0,0,1,4,0,0
2,0,0,0,0,1,6,0,0
57,0,54,1,0,1,4,0,0
