CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
16,0,23,0,0,0,16,0,0
0,0,0,0,0,454,0,0,0
17,0,23,0,0,0,17,0,0
0,0,0,0,0,395,0,0,0
3,0,0,0,0,334,2,0,0
0,0,0,0,0,517,4,0,0
0,0,0,0,0,332,0,0,0
0,0,0,0,0,514,2,0,0
0,0,0,0,0,333,0,0,0
0,0,0,0,0,456,0,0,0
0,0,0,0,0,332,0,0,0
0,0,0,0,0,489,0,0,0
0,0,0,0,0,363,0,0,0
0,0,0,0,0,425,0,0,0
0,0,0,0,0,366,0,0,0
16,0,23,0,0,0,16,0,0
17,0,23,0,0,0,17,0,0
0,0,0,0,0,243,0,0,0
0,0,0,0,0,212,0,0,0
0,0,0,0,0,183,2,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,352,0,0,0
17,0,23,0,0,0,17,0,0
3,0,0,0,0,368,0,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,153,0,0,0
0,0,0,0,0,212,0,0,0
0,0,0,0,0,245,0,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,395,2,0,0
0,0,0,0,0,62,0,0,0
16,0,23,0,0,0,16,0,0
0,0,0,0,0,154,0,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,427,2,0,0
0,0,0,0,0,333,0,0,0
0,0,0,0,0,486,0,0,0
0,0,0,0,0,335,0,0,0
0,0,0,0,0,488,2,0,0
0,0,0,0,0,305,0,0,0
0,0,0,0,0,366,0,0,0
0,0,0,0,0,304,0,0,0
0,0,0,0,0,309,0,0,0
16,0,23,0,0,0,16,0,0
9,0,0,0,0,365,0,0,0
0,0,0,0,0,183,2,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,365,2,0,0
0,0,0,0,0,62,0,0,0
0,0,0,0,0,183,2,0,0
0,0,0,0,0,182,0,0,0
0,0,0,0,0,212,0,0,0
10,0,0,0,0,61,0,0,0
3,0,0,0,0,442,2,0,0
0,0,0,0,0,182,0,0,0
0,0,0,0,0,184,0,0,0
0,0,0,0,0,213,2,0,0
0,0,0,0,0,486,0,0,0
0,0,0,0,0,364,0,0,0
0,0,0,0,0,425,0,0,0
16,0,23,0,0,0,16,0,0
3,0,0,0,0,61,0,0,0
0,0,0,0,0,153,0,0,0
16,0,23,0,0,0,16,0,0
0,0,0,0,0,123,0,0,0
0,0,0,0,0,181,2,0,0
0,0,0,0,0,121,0,0,0
16,0,23,0,0,0,16,0,0
0,0,0,0,0,122,0,0,0
0,0,0,0,0,121,0,0,0
0,0,0,0,0,242,0,0,0
0,0,0,0,0,62,0,0,0
0,0,0,0,0,244,0,0,0
0,0,0,0,0,152,2,0,0
0,0,0,0,0,92,0,0,0
0,0,0,0,0,122,0,0,0
0,0,0,0,0,366,4,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,215,0,0,0
0,0,0,0,0,123,0,0,0
0,0,0,0,0,244,0,0,0
0,0,0,0,0,121,0,0,0
0,0,0,0,0,306,0,0,0
0,0,0,0,0,62,0,0,0
16,0,23,0,0,0,16,0,0
0,0,0,0,0,246,0,0,0
18,0,23,0,0,0,18,0,0
0,0,0,0,0,61,0,0,0
0,0,0,0,0,395,0,0,0
6,0,0,0,0,336,0,0,0
0,0,0,0,0,366,0,0,0
0,0,0,0,0,335,0,0,0
0,0,0,0,0,580,0,0,0
0,0,0,0,0,364,0,0,0
0,0,0,0,0,548,2,0,0
16,0,23,0,0,0,16,0,0
0,0,0,0,0,122,0,0,0
0,0,0,0,0,153,0,0,0
0,0,0,0,0,154,0,0,0
0,0,0,0,0,275,2,0,0
17,0,23,0,0,0,17,0,0
0,0,0,0,0,183,0,0,0
0,0,0,0,0,183,0,0,0
0,0,0,0,0,61,0,0,0
16,0,23,0,0,0,16,0,0
3,0,0,0,0,61,0,0,0
0,0,0,0,0,274,2,0,0
0,0,0,0,0,214,0,0,0
0,0,0,0,0,123,0,0,0
0,0,0,0,0,61,0,0,0
