CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
20,0,23,0,0,0,20,0,0
20,0,23,0,0,0,20,0,0
19,0,23,0,0,0,19,0,0
28,0,23,0,0,0,28,0,0
18,0,23,0,0,0,18,0,0
28,0,23,0,0,0,28,0,0
18,0,23,0,0,0,18,0,0
19,0,23,0,0,0,19,0,0
21,0,23,0,0,0,21,0,0
18,0,23,0,0,0,18,0,0
20,0,23,0,0,0,20,0,0
27,0,23,0,0,0,27,0,0
20,0,23,0,0,0,20,0,0
20,0,23,0,0,0,20,0,0
26,0,23,0,0,0,26,0,0
18,0,23,0,0,0,18,0,0
27,0,23,0,0,0,27,0,0
18,0,23,0,0,0,18,0,0
27,0,23,0,0,28,27,0,0
28,0,23,0,0,0,28,0,0
18,0,23,0,0,0,18,0,0
19,0,23,0,0,0,19,0,0
20,0,23,0,0,0,20,0,0
18,0,23,0,0,0,18,0,0
21,0,23,0,0,0,21,0,0
19,0,23,0,0,0,19,0,0
20,0,23,0,0,0,20,0,0
21,0,23,0,0,0,21,0,0
29,0,23,0,0,0,29,0,0
20,0,23,0,0,0,20,0,0
29,0,23,0,0,0,29,0,0
20,0,23,0,0,0,20,0,0
29,0,23,0,0,0,29,0,0
20,0,23,0,0,0,20,0,0
29,0,23,0,0,0,29,0,0
20,0,23,0,0,0,20,0,0
19,0,23,0,0,0,19,0,0
20,0,23,0,0,0,20,0,0
19,0,23,0,0,0,19,0,0
20,0,23,0,0,0,20,0,0
20,0,23,0,0,0,20,0,0
19,0,23,0,0,0,19,0,0
19,0,23,0,0,0,19,0,0
20,0,23,0,0,0,20,0,0
