CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
11,0,23,0,0,0,11,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
12,0,23,0,0,0,12,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,4,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
7,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
2,0,0,0,0,1,2,0,0
11,0,23,0,0,0,11,0,0
2,0,0,0,0,1,2,0,0
10,0,23,0,0,0,10,0,0
2,0,0,0,0,1,2,0,0
