CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
13,0,23,0,0,0,13,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
15,0,23,0,0,0,15,0,0
1,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
14,0,23,0,0,0,14,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
13,0,1,0,18,1,24,0,7
38,0,0,0,0,1,2,0,1
35,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
5,0,0,0,0,1,12,0,1
2,0,0,0,0,1,2,0,0
10,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
4,0,0,0,0,1,8,0,0
0,0,0,0,0,1,0,0,0
13,0,23,0,0,0,13,0,0
2,0,0,0,0,1,5,0,0
3,0,0,0,0,1,2,0,1
0,0,0,0,0,1,0,0,0
14,0,23,0,0,0,14,0,0
5,0,0,0,0,1,6,0,1
2,0,0,0,0,1,2,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
4,0,0,0,0,1,6,0,0
0,0,0,0,0,1,0,0,0
