CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
6,0,23,0,0,0,6,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,121,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,181,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,44,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,62,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,111,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,63,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,44,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,25,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,7,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,23,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,19,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,29,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,20,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,29,1,0,0,0
0,0,0,0,14,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,11,1,0,0,0
0,0,0,0,0,1,0,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,28,1,0,0,0
6,0,23,0,0,0,6,0,0
0,0,0,0,63,1,0,0,0
0,0,0,0,12,1,0,0,0
6,0,23,0,0,0,6,0,0
0,0,0,0,81,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,60,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
28,0,23,0,0,0,28,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,8,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,16,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,44,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,19,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,21,1,0,0,0
0,0,0,0,0,1,0,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,50,1,0,0,0
0,0,0,0,86,1,0,0,0
0,0,0,0,36,1,0,0,0
0,0,0,0,45,1,0,0,0
0,0,0,0,6,1,0,0,0
6,0,23,0,0,0,6,0,0
0,0,0,0,29,1,0,0,0
5,0,23,0,0,0,5,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,28,1,0,0,0
0,0,0,0,45,1,0,0,0
0,0,0,0,45,1,0,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,28,1,0,0,0
0,0,0,0,20,1,0,0,0
0,0,0,0,40,1,0,0,0
0,0,0,0,25,1,0,0,0
0,0,0,0,17,1,0,0,0
0,0,0,0,15,1,0,0,0
0,0,0,0,35,1,0,0,0
4,0,23,0,0,0,4,0,0
8,0,23,0,0,0,8,0,0
4,0,23,0,0,0,4,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
3,0,23,0,0,0,3,0,0
0,0,0,0,0,1,0,0,0
26,0,23,0,0,0,26,0,0
0,0,0,0,0,1,0,0,0
6,0,23,0,0,0,6,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,3,1,0,0,0
26,0,23,0,0,0,26,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,11,1,0,0,0
6,0,23,0,0,0,6,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,10,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
4,0,23,0,0,0,4,0,0
0,0,0,0,21,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,54,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,84,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,66,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,50,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,35,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,11,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,10,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,11,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,14,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,15,1,0,0,0
4,0,23,0,0,0,4,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,46,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,43,1,0,0,0
0,0,0,0,166,1,0,0,0
6,0,23,0,0,0,6,0,0
5,0,23,0,0,0,5,0,0
29,0,23,0,0,0,29,0,0
4,0,23,0,0,0,4,0,0
0,0,0,0,0,1,0,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,52,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,49,1,0,0,0
0,0,0,0,7,1,0,0,0
0,0,0,0,0,1,0,0,0
4,0,23,0,0,0,4,0,0
29,0,23,0,0,0,29,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,3,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,6,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,13,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,17,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,3,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,9,1,0,0,0
5,0,23,0,0,0,5,0,0
3,0,23,0,0,0,3,0,0
28,0,23,0,0,0,28,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,41,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,46,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,16,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,5,1,0,0,0
0,0,0,0,78,1,0,0,0
0,0,0,0,65,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,14,1,0,0,0
0,0,0,0,4,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
