CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
0,0,0,0,0,1,0,0,0
50,0,0,0,13,1,0,50,12
1,0,0,0,0,1,0,0,1
55,0,0,0,13,1,0,50,17
3,0,0,0,3,1,0,1,5
1,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,1
2,0,0,0,4,1,0,0,4
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,4,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
19,0,0,0,14,1,1,0,32
13,0,0,0,17,1,0,0,47
1,0,0,0,0,1,0,0,1
6,0,0,0,7,1,0,0,27
3,0,0,0,3,1,0,1,5
1,0,0,0,0,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,0,0,3,1,0,0,4
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
