CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
49,0,0,22,27,1,0,0,0
59,0,0,28,30,1,0,0,1
57,0,0,27,29,1,0,0,1
56,0,0,26,29,1,0,0,1
58,0,0,28,29,1,0,0,1
58,0,0,28,29,1,0,0,1
55,0,0,26,28,1,0,0,1
56,0,0,27,28,1,0,0,1
56,0,0,27,28,1,0,0,1
53,0,0,25,27,1,0,0,1
54,0,0,26,27,1,0,0,1
54,0,0,26,27,1,0,0,1
44,0,0,21,22,1,0,0,1
25,0,0,11,13,1,0,0,1
63,0,0,29,33,1,0,0,1
10,0,0,5,5,1,0,0,0
15,0,0,7,7,1,0,0,1
13,0,0,7,7,1,0,0,1
21,0,0,9,9,1,0,0,1
17,0,0,9,9,1,0,0,1
21,0,0,9,9,1,0,0,1
17,0,0,9,9,1,0,0,1
19,0,0,8,8,1,0,0,1
17,0,0,8,8,1,0,0,1
17,0,0,9,9,1,0,0,1
19,0,0,8,8,1,0,0,1
17,0,0,9,9,1,0,0,1
19,0,0,9,9,1,0,0,1
20,0,0,8,8,1,0,0,1
19,0,0,9,9,1,0,0,1
19,0,0,9,9,1,0,0,1
14,0,0,7,8,1,0,0,1
17,0,0,7,7,1,0,0,1
15,0,0,7,7,1,0,0,1
13,0,0,6,6,1,0,0,1
9,0,0,4,5,1,0,0,0
13,0,0,6,6,1,0,0,1
16,0,0,7,8,1,0,0,1
13,0,0,6,6,1,0,0,1
15,0,0,7,7,1,0,0,1
13,0,0,7,7,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
6,0,0,3,3,1,0,0,0
11,0,0,5,5,1,0,0,1
15,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,3,3,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
12,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
10,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
15,0,0,7,7,1,0,0,1
16,0,0,7,8,1,0,0,1
17,0,0,8,8,1,0,0,1
16,0,0,7,8,1,0,0,1
17,0,0,8,8,1,0,0,1
17,0,0,6,10,1,0,0,1
15,0,0,5,9,1,0,0,1
15,0,0,7,7,1,0,0,1
15,0,0,7,7,1,0,0,1
17,0,0,7,9,1,0,0,1
19,0,0,9,9,1,0,0,1
18,0,0,8,9,1,0,0,1
14,0,0,6,7,1,0,0,1
15,0,0,8,8,1,0,0,1
23,0,0,10,10,1,0,0,1
16,0,0,7,8,1,0,0,1
16,0,0,7,9,1,0,0,1
16,0,0,7,7,1,0,0,1
17,0,0,8,8,1,0,0,1
15,0,0,7,7,1,0,0,1
13,0,0,6,6,1,0,0,1
15,0,0,7,7,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
12,0,0,5,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
10,0,0,4,5,1,0,0,1
11,0,0,4,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
13,0,0,6,6,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
11,0,0,5,5,1,0,0,1
11,0,0,5,5,1,0,0,1
9,0,0,4,4,1,0,0,1
10,0,0,5,5,1,0,0,1
