CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
9,0,0,0,0,1,10,0,3
4,0,0,0,0,1,5,0,1
56,0,0,0,0,1,0,0,1
292,0,3,1,0,1,6,0,0
27,0,0,0,4,1,3,0,1
76,0,0,0,11,1,11,0,1
13,0,0,0,4,1,3,0,1
14,0,0,0,9,1,21,4,0
0,0,0,0,0,1,0,0,0
106,0,0,0,0,1,0,0,1
80,0,0,0,0,1,13,4,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
8,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,0,0,0,1,6,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,6,0,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
38,0,0,0,0,1,6,0,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,6,0,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
20,0,0,0,0,1,12,4,1
18,0,0,0,8,1,2,0,0
0,0,0,0,0,1,0,0,0
151,0,0,0,4,1,1,0,1
76,0,0,0,0,1,0,0,1
23,0,0,0,15,1,1,4,1
5,0,0,0,0,1,6,0,1
3,0,0,0,0,1,2,0,1
1,0,0,0,0,1,0,0,1
12,0,3,1,0,1,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
9,0,3,1,0,1,7,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,2,0,1
3,0,0,0,0,1,4,0,1
3,0,0,0,0,1,3,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
7,0,3,1,0,1,7,0,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
6,0,3,1,0,1,6,0,0
0,0,0,0,0,1,0,0,0
22,0,0,0,9,1,15,5,1
8,0,0,0,0,1,6,0,1
4,0,0,0,0,1,4,1,1
1,0,0,0,0,1,0,0,1
71,0,0,0,0,1,0,0,1
46,0,0,0,0,1,0,0,1
25,0,0,0,4,1,11,4,1
10,0,0,0,0,1,12,4,1
12,0,0,0,6,1,12,0,1
1,0,0,0,0,1,0,0,1
7,0,3,1,0,1,2,0,1
6,0,0,0,0,1,0,0,1
26,0,0,0,4,1,9,1,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
11,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,0,0,0,1,6,0,1
4,0,0,0,0,1,6,0,1
1,0,0,0,0,1,0,0,1
8,0,3,1,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,6,0,1
30,0,0,0,9,1,19,4,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,2,0,1
6,0,0,0,0,1,0,0,1
11,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
17,0,0,0,4,1,19,4,1
