CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
11,0,0,0,0,151,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,181,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,121,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,121,0,0,1
1,0,0,0,0,32,0,0,1
1,0,0,0,0,61,0,0,1
1,0,0,0,0,121,0,0,1
1,0,0,0,0,121,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,121,0,0,1
0,0,0,0,0,153,0,0,0
1,0,0,0,0,459,0,0,1
1,0,0,0,0,577,0,0,1
1,0,0,0,0,370,0,0,1
1,0,0,0,0,550,0,0,1
1,0,0,0,0,398,0,0,1
1,0,0,0,0,368,0,0,1
1,0,0,0,0,396,0,0,1
1,0,0,0,0,427,0,0,1
1,0,0,0,0,337,0,0,1
1,0,0,0,0,456,0,0,1
1,0,0,0,0,335,0,0,1
10,0,0,0,0,396,0,0,1
1,0,0,0,0,427,0,0,1
1,0,0,0,0,335,0,0,1
1,0,0,0,0,396,0,0,1
1,0,0,0,0,488,0,0,1
1,0,0,0,0,276,0,0,1
1,0,0,0,0,458,0,0,1
1,0,0,0,0,487,0,0,1
1,0,0,0,0,399,0,0,1
1,0,0,0,0,674,0,0,1
