CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
3,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
7,0,0,0,0,62,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
18,0,0,0,0,152,6,0,1
7,0,0,0,0,213,6,0,1
1,0,0,0,0,63,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
11,0,0,0,0,122,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
4,0,0,0,0,1,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,4,0,1
1,0,0,0,0,61,4,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
4,0,0,0,0,1,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
4,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,91,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,61,2,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
