CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
48,0,1,0,51,1,0,0,120
1,0,1,0,1,1,0,0,1
27,0,0,0,55,1,0,1,39
1,0,0,0,0,1,0,0,1
30,0,0,0,22,1,0,0,19
5,0,0,0,9,1,0,1,9
1,0,0,0,0,1,0,0,1
73,0,0,0,65,1,0,0,193
39,0,0,0,44,1,0,0,118
41,0,0,0,31,1,0,1,157
12,0,1,0,19,1,0,0,18
13,0,0,0,17,1,0,2,34
0,0,0,0,0,1,0,0,0
19,0,1,0,17,1,0,0,10
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
60,0,0,0,62,1,0,0,194
1,0,0,0,0,1,0,0,1
21,0,0,0,17,1,0,0,33
1,0,0,0,0,1,0,0,1
32,0,0,0,44,1,0,4,47
1,0,0,0,0,1,0,0,1
6,0,0,0,11,1,0,1,12
1,0,0,0,0,1,0,0,1
31,0,0,0,67,1,0,0,88
49,0,4,0,44,1,0,1,198
5,0,4,0,4,1,0,0,5
90,0,0,0,86,1,0,0,209
1,0,0,0,0,1,0,0,1
16,0,0,0,16,1,0,0,53
1,0,0,0,0,1,0,0,1
35,0,0,0,23,1,0,0,82
1,0,0,0,0,1,0,0,1
32,0,0,0,39,1,0,0,151
1,0,0,0,0,1,0,0,1
64,0,0,0,87,1,0,1,116
1,0,0,0,0,1,0,0,1
9,0,1,0,9,1,0,0,8
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
28,0,0,0,31,1,0,0,131
1,0,0,0,0,1,0,0,1
11,0,0,0,12,1,0,0,12
1,0,0,0,0,1,0,0,1
33,0,0,0,38,1,0,1,111
1,0,0,0,0,1,0,0,1
16,0,0,0,26,1,0,1,26
1,0,0,0,0,1,0,0,1
41,0,4,0,38,1,0,0,106
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
18,0,0,0,24,1,0,0,94
5,0,4,0,4,1,0,0,5
108,0,4,0,66,1,0,1,164
1,0,0,0,0,1,0,0,1
61,0,0,0,62,1,0,0,80
1,0,0,0,0,1,0,0,1
34,0,0,0,37,1,0,0,173
1,0,0,0,0,1,0,0,1
32,0,0,0,33,1,0,0,74
1,0,0,0,0,1,0,0,1
36,0,0,0,55,1,0,1,47
1,0,0,0,0,1,0,0,1
111,0,0,0,60,1,0,0,100
2,0,1,0,1,1,0,0,2
79,0,1,0,53,1,0,0,180
1,0,0,0,0,1,0,0,1
32,0,0,0,42,1,0,1,166
1,0,0,0,0,1,0,0,1
7,0,0,0,17,1,0,0,22
1,0,0,0,0,1,0,0,1
31,0,0,0,18,1,0,0,101
1,0,0,0,0,1,0,0,1
46,0,0,0,62,1,0,1,148
1,0,0,0,0,1,0,0,1
63,0,0,0,47,1,0,0,90
5,0,4,0,4,1,0,0,5
58,0,4,0,42,1,0,0,88
1,0,0,0,0,1,0,0,1
51,0,0,0,45,1,0,1,161
1,0,0,0,0,1,0,0,1
27,0,0,0,11,1,0,1,24
1,0,0,0,0,1,0,0,1
61,0,0,0,27,1,0,0,168
1,0,0,0,0,1,0,0,1
8,0,0,0,15,1,0,1,16
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
25,0,0,0,6,1,0,0,5
1,0,0,0,0,1,0,0,1
66,0,0,0,148,1,0,3,99
1,0,0,0,0,1,0,0,1
1,0,0,0,223,1,0,0,131
1,0,0,0,0,1,0,0,1
9,0,4,0,161,1,0,0,161
5,0,4,0,4,1,0,0,5
1,0,0,0,0,1,0,0,1
8,0,0,0,127,1,0,5,93
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
9,0,0,0,187,1,0,4,81
1,0,0,0,0,1,0,0,1
34,0,0,0,50,1,0,0,72
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
5,0,4,0,4,1,0,0,5
10,0,0,0,134,1,0,4,116
1,0,0,0,0,1,0,0,1
12,0,0,0,115,1,0,3,91
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
95,0,0,0,57,1,0,1,91
1,0,0,0,0,1,0,0,1
72,0,1,0,53,1,0,0,230
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
41,0,0,0,15,1,0,0,73
1,0,0,0,0,1,0,0,1
41,0,0,0,23,1,0,0,96
1,0,0,0,0,1,0,0,1
29,0,0,0,15,1,0,1,43
5,0,0,0,161,1,0,9,74
1,0,0,0,0,1,0,0,1
16,0,4,0,14,1,0,0,13
5,0,4,0,4,1,0,0,5
87,0,0,0,40,1,0,0,94
1,0,0,0,0,1,0,0,1
52,0,0,0,49,1,0,0,158
1,0,0,0,0,1,0,0,1
34,0,0,0,17,1,0,1,23
1,0,0,0,0,1,0,0,1
24,0,0,0,28,1,0,0,140
1,0,0,0,0,1,0,0,1
54,0,0,0,50,1,0,0,154
1,0,0,0,0,1,0,0,1
48,0,1,0,31,1,0,1,51
49,0,1,0,82,1,0,4,87
2,0,1,0,1,1,0,0,2
1,0,0,0,0,1,0,0,1
2,0,0,0,16,1,0,0,21
0,0,0,0,0,1,0,0,0
