CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
20,0,0,0,0,1,0,0,0
56,0,0,0,21,1,28,6,3
110,0,0,0,55,1,3,0,1
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
11,0,0,0,246,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
13,0,0,0,184,1,8,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
16,0,0,0,80,1,16,0,3
1,0,0,0,0,1,0,0,1
16,0,0,0,0,1,0,0,1
10,0,0,0,0,1,11,0,3
11,0,0,0,240,1,3,0,1
11,0,0,0,0,1,0,0,1
10,0,0,0,0,1,11,0,3
1,0,0,0,0,1,0,0,1
28,0,0,0,0,1,11,4,1
1,0,0,0,0,1,0,0,1
11,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
86,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
7,0,0,0,80,1,3,0,1
7,0,0,0,80,1,3,0,1
10,0,0,0,0,1,11,0,3
7,0,0,0,80,1,3,0,1
16,0,0,0,0,1,0,0,1
22,0,0,0,184,1,17,0,3
1,0,0,0,0,1,0,0,1
16,0,0,0,0,1,0,0,1
20,0,0,0,240,1,14,0,3
1,0,0,0,0,1,0,0,1
11,0,0,0,0,1,0,0,1
10,0,0,0,0,1,11,0,3
1,0,2,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
61,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
8,0,0,0,0,1,11,4,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
8,0,0,0,0,1,16,4,1
1,0,0,0,0,1,0,0,1
16,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
3,0,0,0,0,1,4,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
31,0,0,0,0,1,0,0,1
11,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
8,0,0,0,0,1,11,4,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,1
10,0,0,0,0,1,13,0,3
1,0,0,0,0,1,0,0,1
151,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
